8800	6.63125e-20	-2.10219e-20	4.52906e-20	160.1
8900	6.63115e-20	-2.10621e-20	4.52494e-20	160.097
9000	6.63106e-20	-2.11012e-20	4.52094e-20	160.095
9100	6.63093e-20	-2.11391e-20	4.51701e-20	160.092
9200	6.6308e-20	-2.11759e-20	4.51321e-20	160.089
9300	6.63065e-20	-2.12112e-20	4.50953e-20	160.085
9400	6.63046e-20	-2.12451e-20	4.50595e-20	160.081
9500	6.63031e-20	-2.12773e-20	4.50258e-20	160.077
9600	6.63011e-20	-2.13074e-20	4.49937e-20	160.072
9700	6.62991e-20	-2.13087e-20	4.49903e-20	160.067
9800	6.62971e-20	-2.13348e-20	4.49623e-20	160.063
9900	6.62946e-20	-2.13585e-20	4.49361e-20	160.057
10000	6.62919e-20	-2.13795e-20	4.49124e-20	160.05
10100	6.62891e-20	-2.13976e-20	4.48914e-20	160.043
10200	6.62859e-20	-2.14125e-20	4.48734e-20	160.036
10300	6.62826e-20	-2.14239e-20	4.48587e-20	160.028
10400	6.6279e-20	-2.1432e-20	4.4847e-20	160.019
10500	6.62751e-20	-2.14363e-20	4.48388e-20	160.01
10600	6.62711e-20	-2.14363e-20	4.48348e-20	160
10700	6.62667e-20	-2.14321e-20	4.48347e-20	159.989
10800	6.62622e-20	-2.14231e-20	4.4839e-20	159.978
10900	6.62574e-20	-2.14093e-20	4.48481e-20	159.967
11000	6.62523e-20	-2.13901e-20	4.48622e-20	159.955
11100	6.62471e-20	-2.13657e-20	4.48814e-20	159.942
11200	6.62414e-20	-2.13356e-20	4.49058e-20	159.928
11300	6.62354e-20	-2.12998e-20	4.49356e-20	159.914
11400	6.62292e-20	-2.12574e-20	4.49717e-20	159.899
11500	6.62226e-20	-2.12089e-20	4.50137e-20	159.883
11600	6.62159e-20	-2.11535e-20	4.50624e-20	159.867
11700	6.62093e-20	-2.11182e-20	4.50911e-20	159.851
11800	6.6202e-20	-2.10491e-20	4.51529e-20	159.833
11900	6.61948e-20	-2.09727e-20	4.5222e-20	159.816
12000	6.61873e-20	-2.08623e-20	4.5325e-20	159.798
12100	6.61799e-20	-2.07713e-20	4.54086e-20	159.78
12200	6.61724e-20	-2.06726e-20	4.54998e-20	159.762
12300	6.61646e-20	-2.05662e-20	4.55984e-20	159.743
12400	6.61571e-20	-2.04521e-20	4.5705e-20	159.725
12500	6.61495e-20	-2.03303e-20	4.58192e-20	159.706
12600	6.61423e-20	-2.02016e-20	4.59407e-20	159.689
12700	6.61353e-20	-2.00657e-20	4.60696e-20	159.672
12800	6.61288e-20	-1.99231e-20	4.62057e-20	159.656
12900	6.61224e-20	-1.97742e-20	4.63482e-20	159.641
13000	6.61168e-20	-1.962e-20	4.64967e-20	159.627
13100	6.61118e-20	-1.94608e-20	4.66511e-20	159.615
13200	6.61078e-20	-1.92975e-20	4.68102e-20	159.606
13300	6.61046e-20	-1.91311e-20	4.69735e-20	159.598
13400	6.61023e-20	-1.89623e-20	4.714e-20	159.592
13500	6.61015e-20	-1.87926e-20	4.73089e-20	159.59
13600	6.61017e-20	-1.86233e-20	4.74785e-20	159.591
13700	6.61035e-20	-1.84555e-20	4.76479e-20	159.595
13800	6.61064e-20	-1.82912e-20	4.78152e-20	159.602
13900	6.61112e-20	-1.81314e-20	4.79798e-20	159.614
14000	6.61177e-20	-1.7978e-20	4.81397e-20	159.63
14100	6.61256e-20	-1.78325e-20	4.8293e-20	159.649
14200	6.61354e-20	-1.76968e-20	4.84386e-20	159.672
14300	6.61468e-20	-1.75724e-20	4.85744e-20	159.7
14400	6.61596e-20	-1.7461e-20	4.86986e-20	159.731
14500	6.61745e-20	-1.73646e-20	4.88099e-20	159.767
14600	6.61908e-20	-1.72845e-20	4.89062e-20	159.806
14700	6.62082e-20	-1.72216e-20	4.89865e-20	159.848
14800	6.62267e-20	-1.71771e-20	4.90496e-20	159.893
14900	6.62463e-20	-1.71525e-20	4.90939e-20	159.94
15000	6.62671e-20	-1.71209e-20	4.91461e-20	159.99
15100	6.62878e-20	-1.71374e-20	4.91505e-20	160.04
15200	6.6309e-20	-1.71748e-20	4.91342e-20	160.091
15300	6.63303e-20	-1.72336e-20	4.90967e-20	160.143
15400	6.63508e-20	-1.73136e-20	4.90372e-20	160.192
15500	6.63711e-20	-1.74138e-20	4.89573e-20	160.241
15600	6.63908e-20	-1.75334e-20	4.88573e-20	160.289
15700	6.64091e-20	-1.76715e-20	4.87376e-20	160.333
15800	6.64262e-20	-1.78265e-20	4.85996e-20	160.374
15900	6.6442e-20	-1.79703e-20	4.84717e-20	160.413
16000	6.64559e-20	-1.8155e-20	4.83009e-20	160.446
16100	6.64679e-20	-1.83516e-20	4.81163e-20	160.475
16200	6.64779e-20	-1.85579e-20	4.792e-20	160.499
16300	6.6486e-20	-1.87723e-20	4.77137e-20	160.519
16400	6.64918e-20	-1.89931e-20	4.74987e-20	160.533
16500	6.64957e-20	-1.92178e-20	4.7278e-20	160.542
16600	6.64975e-20	-1.94438e-20	4.70537e-20	160.547
16700	6.64975e-20	-1.96702e-20	4.68273e-20	160.546
16800	6.6495e-20	-1.98936e-20	4.66014e-20	160.541
16900	6.64908e-20	-2.01398e-20	4.6351e-20	160.53
17000	6.64847e-20	-2.03537e-20	4.6131e-20	160.516
17100	6.64766e-20	-2.05592e-20	4.59174e-20	160.496
17200	6.64669e-20	-2.07544e-20	4.57125e-20	160.473
17300	6.64553e-20	-2.09387e-20	4.55167e-20	160.445
17400	6.64425e-20	-2.11101e-20	4.53324e-20	160.414
17500	6.6428e-20	-2.12663e-20	4.51617e-20	160.379
17600	6.6412e-20	-2.14071e-20	4.50049e-20	160.34
17700	6.63947e-20	-2.15304e-20	4.48643e-20	160.298
17800	6.6376e-20	-2.16352e-20	4.47408e-20	160.253
17900	6.6356e-20	-2.17197e-20	4.46364e-20	160.205
18000	6.63351e-20	-2.17838e-20	4.45513e-20	160.154
18100	6.63129e-20	-2.18525e-20	4.44604e-20	160.101
